country_name,population_density,agricultural_land,land_area,armed_forces,birth_rate,capital_city,co2_emissions,cpi,fertility_rate,forested_area,gasoline_price,gdp,infant_mortality,largest_city,life_expectancy,minimum_wage,official_language,out_of_pocket_health_expenditure,population,population_labor_force,tax_revenue,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Serbia,100,0.39300000000000000,77474,32000,0.092,Belgrade,45221,144,1.49,0.311,1.16,51409167351.00,0.048,Belgrade,0.755,1.57,Serbian,0.406,6944975,0.5490000000000000,0.18600000000000000,0.366,0.12690000000000000,3907243,44.016521,21.005859
Sierra Leone,111,0.547,71740,9000,0.33410000000000000,Freetown,1093,234.16,4.26,0.431,1.08,3941474311.00,0.785,Freetown,0.5430000000000000,0.57,English,0.382,7813215,0.579,0.086,0.307,0.0443,3319366,8.460555,-11.779889
Slovakia,114,0.392,49035,16000,0.106,Bratislava,32424,115.34,1.52,0.40400000000000000,1.32,105422304976.00,0.046,Bratislava,0.772,3.11,Slovak,0.184,5454073,0.595,0.187,0.49700000000000000,0.0556,2930419,48.669026,19.699024
Slovenia,103,0.307,20273,7000,0.094,Ljubljana,12633,111.05,1.6,0.62,1.32,53742159517.00,0.017,Ljubljana,0.81,5.25,Slovene language,0.125,2087946,0.584,0.18600000000000000,0.31,0.042,1144654,46.151241,14.995463
South Korea,527,0.174,99720,634000,0.064,Seoul,620302,115.16,0.98,0.634,1.22,2029000000000.00,0.027000000000000000,Seoul,0.826,6.49,Korean,0.368,51709098,0.63,0.156,0.332,0.0415,42106719,35.907757,127.766922
Spain,94,0.526,505370,196000,0.079,Madrid,244002,110.96,1.26,0.369,1.26,1394116310769.00,0.025,Madrid,0.833,5.60,Spanish,0.242,47076781,0.575,0.142,0.47,0.1396,37927409,40.463667,-3.74922
Sri Lanka,341,0.43700000000000000,65610,317000,0.1583,Colombo,23362,155.53,2.2,0.32900000000000000,0.88,84008783756.00,0.064,Colombo,0.768,0.35,Tamil,0.384,21803000,0.539,0.11900000000000000,0.552,0.042,4052088,7.873054,80.771797
Sudan,25,0.287,1861484,124000,0.3218,Khartoum,20000,1344.1900000000000,4.41,0.081,0.95,18902284476.00,0.42100000000000000,Omdurman,0.6510000000000000,0.41,Arabic,0.632,42813238,0.484,0.08,0.45400000000000000,0.1653,14957233,12.862807,30.217636
Syria,95,0.758,185180,239000,0.2369,Damascus,28830,143.2,2.81,0.027000000000000000,0.83,40405006007.00,0.14,Damascus,0.718,1.02,Arabic,0.537,17070135,0.441,0.142,0.42700000000000000,0.0837,9358019,34.802075,38.996815
Tajikistan,68,0.341,144100,17000,0.30760000000000000,Dushanbe,5310,148.57,3.59,0.03,0.71,8116626794.00,0.304,Dushanbe,0.7090000000000000,0.23,Persian,0.631,9321018,0.42,0.098,0.6730000000000000,0.11020000000000000,2545477,38.861034,71.276093
